,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
9705,2025 March 14,06:59:56,T,3N,102W
9706,2025 September 7,18:12:58,T,6S,87E
9707,2026 March 3,11:34:52,T,6N,171W
9708,2026 August 28,04:14:04,P,9S,63W
9709,2027 February 20,23:14:06,N,10N,15E
9710,2027 July 18,16:04:09,Ne,22S,121E
9711,2027 August 17,07:14:59,N,12S,108W
9712,2028 January 12,04:14:13,P,23N,61W
9713,2028 July 6,18:20:57,P,23S,86E
9714,2028 December 31,16:53:15,T,23N,108E
9715,2029 June 26,03:23:22,T+,23S,50W
9716,2029 December 20,22:43:12,T,23N,19E
9717,2030 June 15,18:34:34,P,23S,82E
9718,2030 December 9,22:28:51,N,22N,21E
9719,2031 May 7,03:52:02,N,18S,59W
9720,2031 June 5,11:45:17,N,21S,176W
9721,2031 October 30,07:46:45,N,15N,121W
9722,2032 April 25,15:14:51,T,14S,131E
9723,2032 October 18,19:03:40,T,10N,71E
9724,2033 April 14,19:13:51,T,9S,72E
9725,2033 October 8,10:56:23,T,6N,167W
9726,2034 April 3,19:06:59,N,5S,75E
9727,2034 September 28,02:47:37,P,1N,44W
9728,2035 February 22,09:06:12,N,9N,133W
9729,2035 August 19,01:12:15,P,12S,17W
9730,2036 February 11,22:13:06,T,14N,31E
9731,2036 August 7,02:52:32,T+,16S,41W
9732,2037 January 31,14:01:38,T,18N,153E
9733,2037 July 27,04:09:53,P,20S,60W
9734,2038 January 21,03:49:52,N,21N,54W
9735,2038 June 17,02:45:02,N,22S,41W
9736,2038 July 16,11:35:56,N,23S,172W
9737,2038 December 11,17:45:00,N,22N,93E
9738,2039 June 6,18:54:25,P,22S,77E
9739,2039 November 30,16:56:28,P,21N,104E
9740,2040 May 26,11:46:22,T-,21S,177W
9741,2040 November 18,19:04:40,T+,20N,70E
9742,2041 May 16,00:43:03,P,20S,12W
9743,2041 November 8,04:35:05,P,18N,73W
9744,2042 April 5,14:30:11,N,5S,144E
9745,2042 September 29,10:45:47,N,2N,163W
9746,2043 March 25,14:32:04,T,2S,144E
9747,2043 September 19,01:51:50,T,2S,29W
9748,2044 March 13,19:38:33,T,2N,68E
9749,2044 September 7,11:20:44,T,5S,171W
9750,2045 March 3,07:43:26,N,6N,113W
9751,2045 August 27,13:54:50,N,9S,152E
9752,2046 January 22,13:02:37,P,21N,168E
9753,2046 July 18,01:06:05,P,22S,14W
9754,2047 January 12,01:26:14,T,22N,19W
9755,2047 July 7,10:35:45,T-,23S,157W
9756,2048 January 1,06:53:55,T,23N,102W
9757,2048 June 26,02:02:28,P,23S,30W
9758,2048 December 20,06:27:48,N,22N,97W
9759,2049 May 17,11:26:39,N,21S,172W
9760,2049 June 15,19:14:12,N,22S,72E
9761,2049 November 9,15:52:11,N,18N,118E
9762,2050 May 6,22:32:02,T,17S,21E
9763,2050 October 30,03:21:47,T,14N,54W
9764,2051 April 26,02:16:28,T,13S,34W
9765,2051 October 19,19:11:50,T-,10N,69E
9766,2052 April 14,02:18:06,N,9S,34W
9767,2052 October 8,10:45:58,P,5N,164W
9768,2053 March 4,17:22:10,N,5N,102E
9769,2053 August 29,08:05:50,Nx,8S,121W
9770,2054 February 22,06:51:27,T,10N,99W
9771,2054 August 18,09:26:30,T,13S,140W
9772,2055 February 11,22:46:17,T,14N,22E
9773,2055 August 7,10:53:18,P,17S,161W
9774,2056 February 1,12:26:06,N,18N,177E
9775,2056 June 27,10:03:09,N,22S,149W
9776,2056 July 26,18:43:24,N,20S,81E
9777,2056 December 22,01:48:56,N,22N,27W
9778,2057 June 17,02:26:20,P,23S,36W
9779,2057 December 11,00:53:38,P,23N,15W
9780,2058 June 6,19:15:48,T-,23S,71E
9781,2058 November 30,03:16:18,T+,22N,52W
9782,2059 May 27,07:55:35,P,22S,119W
9783,2059 November 19,13:01:36,P,20N,161E
9784,2060 April 15,21:37:04,N,9S,37E
9785,2060 October 9,18:53:32,N,6N,74E
9786,2060 November 8,04:04:15,N,18N,65W
9787,2061 April 4,21:54:05,T,6S,33E
9788,2061 September 29,09:38:13,T,2N,146W
9789,2062 March 25,03:33:50,T,2S,52W
9790,2062 September 18,18:34:02,T,1S,80E
9791,2063 March 14,16:05:49,P,1N,121E
9792,2063 September 7,20:41:12,N,5S,49E
9793,2064 February 2,21:48:57,P,18N,37E
9794,2064 July 28,07:52:48,P,20S,116W
9795,2065 January 22,09:58:58,T,20N,146W
9796,2065 July 17,17:48:40,T-,21S,95E
9797,2066 January 11,15:04:47,T,21N,136E
9798,2066 July 7,09:30:29,P,22S,141W
9799,2066 December 31,14:30:10,N,22N,144E
9800,2067 May 28,18:56:08,N,23S,76E
9801,2067 June 27,02:41:06,N,22S,39W
