,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
9562,2025 March 29,10:48:36,P,61.1N,77.1W
9563,2025 September 21,19:43:04,P,60.9S,153.5E
9564,2026 February 17,12:13:06,A,64.7S,86.8E
9565,2026 August 12,17:47:06,T,65.2N,25.2W
9566,2027 February 6,16:00:48,A,31.3S,48.5W
9567,2027 August 2,10:07:50,T,25.5N,33.2E
9568,2028 January 26,15:08:59,A,3.0N,51.5W
9569,2028 July 22,02:56:40,T,15.6S,126.7E
9570,2029 January 14,17:13:48,P,63.7N,114.2W
9571,2029 June 12,04:06:13,P,66.8N,66.2W
9572,2029 July 11,15:37:19,P,64.3S,85.6W
9573,2029 December 5,15:03:58,P,67.5S,135.7E
9574,2030 June 1,06:29:13,A,56.5N,80.1E
9575,2030 November 25,06:51:37,T,43.6S,71.2E
9576,2031 May 21,07:16:04,A,8.9N,71.7E
9577,2031 November 14,21:07:31,H,0.6S,137.6W
9578,2032 May 9,13:26:42,A,51.3S,7.1W
9579,2032 November 3,05:34:13,P,70.4N,132.6E
9580,2033 March 30,18:02:36,T,71.3N,155.8W
9581,2033 September 23,13:54:31,P,72.2S,121.2W
9582,2034 March 20,10:18:45,T,16.1N,22.2E
9583,2034 September 12,16:19:28,A,18.2S,72.6W
9584,2035 March 9,23:05:54,A,29.0S,154.9W
9585,2035 September 2,01:56:46,T,29.1N,158.0E
9586,2036 February 27,04:46:49,P,71.6S,131.4W
9587,2036 July 23,10:32:06,P,68.9S,3.6E
9588,2036 August 21,17:25:45,P,71.1N,47.0E
9589,2037 January 16,09:48:55,P,68.5N,20.8E
9590,2037 July 13,02:40:36,T,24.8S,139.1E
9591,2038 January 5,13:47:11,A,2.1N,25.4W
9592,2038 July 2,13:32:55,A,25.4N,21.9W
9593,2038 December 26,01:00:10,T,40.3S,164.0E
9594,2039 June 21,17:12:54,A,78.9N,102.1W
9595,2039 December 15,16:23:46,T,80.9S,172.8E
9596,2040 May 11,03:43:02,P,62.8S,174.4E
9597,2040 November 4,19:09:02,P,62.2N,53.4W
9598,2041 April 30,11:52:21,T,9.6S,12.2E
9599,2041 October 25,01:36:22,A,9.9N,162.9E
9600,2042 April 20,02:17:30,T,27.0N,137.3E
9601,2042 October 14,02:00:42,A,23.7S,137.8E
9602,2043 April 9,18:57:49,T+,61.3N,152.0E
9603,2043 October 3,03:01:49,A-,61.0S,35.3E
9604,2044 February 28,20:24:40,As,62.2S,25.6W
9605,2044 August 23,01:17:02,T,64.3N,120.4W
9606,2045 February 16,23:56:07,A,28.3S,166.2W
9607,2045 August 12,17:42:39,T,25.9N,78.5W
9608,2046 February 5,23:06:26,A,4.8N,171.4W
9609,2046 August 2,10:21:13,T,12.7S,15.2E
9610,2047 January 26,01:33:18,P,62.9N,111.7E
9611,2047 June 23,10:52:31,P,65.8N,178.0W
9612,2047 July 22,22:36:17,P,63.4S,160.2E
9613,2047 December 16,23:50:12,P,66.4S,6.6W
9614,2048 June 11,12:58:53,A,63.7N,11.5W
9615,2048 December 5,15:35:27,T,46.1S,56.4W
9616,2049 May 31,13:59:59,A,15.3N,29.9W
9617,2049 November 25,05:33:48,H,3.8S,95.2E
9618,2050 May 20,20:42:50,H,40.1S,123.7W
9619,2050 November 14,13:30:53,P,69.5N,1.0E
9620,2051 April 11,02:10:39,P,71.6N,32.2E
9621,2051 October 4,21:02:14,P,72.0S,117.7E
9622,2052 March 30,18:31:53,T,22.4N,102.5W
9623,2052 September 22,23:39:10,A,25.7S,175.0E
9624,2053 March 20,07:08:19,A,23.0S,83.0E
9625,2053 September 12,09:34:09,T,21.5N,41.7E
9626,2054 March 9,12:33:40,P,72.0S,97.9E
9627,2054 August 3,18:04:02,Pe,69.8S,121.3W
9628,2054 September 2,01:09:34,P,71.7N,82.3W
9629,2055 January 27,17:54:05,P,69.5N,112.2W
9630,2055 July 24,09:57:50,T,33.3S,25.8E
9631,2056 January 16,22:16:45,A,3.9N,153.5W
9632,2056 July 12,20:21:59,A,19.4N,123.7W
9633,2057 January 5,09:47:52,T,39.2S,35.2E
9634,2057 July 1,23:40:15,A,71.5N,176.2W
9635,2057 December 26,01:14:35,T,84.9S,21.8E
9636,2058 May 22,10:39:25,P,63.5S,61.1E
9637,2058 June 21,00:19:35,Pb,65.9N,9.9E
9638,2058 November 16,03:23:07,P,62.9N,174.2E
9639,2059 May 11,19:22:16,T,10.7S,100.4W
9640,2059 November 5,09:18:15,A,8.7N,47.1E
9641,2060 April 30,10:10:00,T,28.0N,20.9E
9642,2060 October 24,09:24:10,A,25.8S,28.1E
9643,2061 April 20,02:56:49,T,64.5N,59.2E
9644,2061 October 13,10:32:10,A,62.1S,54.4W
9645,2062 March 11,04:26:16,P,61.0S,147.1W
9646,2062 September 3,08:54:27,P,61.3N,150.3E
9647,2063 February 28,07:43:30,A,25.2S,77.7E
9648,2063 August 24,01:22:11,T,25.6N,168.4E
9649,2064 February 17,07:00:23,A,7.0N,69.7E
9650,2064 August 12,17:46:06,T,10.9S,96.0W
9651,2065 February 5,09:52:26,P,62.2N,21.9W
9652,2065 July 3,17:33:52,P,64.8N,71.9E
9653,2065 August 2,05:34:17,P,62.7S,46.5E
9654,2065 December 27,08:39:56,P,65.4S,149.2W
9655,2066 June 22,19:25:48,A,70.1N,96.4W
9656,2066 December 17,00:23:40,T,47.4S,175.8E
9657,2067 June 11,20:42:26,A,21.0N,130.2W
9658,2067 December 6,14:03:43,H,6.0S,32.4W
9659,2068 May 31,03:56:39,T,31.0S,123.2E
9660,2068 November 24,21:32:30,P,68.5N,131.1W
9661,2069 April 21,10:11:09,P,71.0N,101.3W
9662,2069 May 20,17:53:18,Pb,68.8S,69.9W
9663,2069 October 15,04:19:56,P,71.6S,5.5W
9664,2070 April 11,02:36:09,T,29.1N,135.1E
9665,2070 October 4,07:08:57,A,32.8S,60.4E
9666,2071 March 31,15:01:06,A,16.7S,37.0W
9667,2071 September 23,17:20:28,T,14.2N,76.7W
9668,2072 March 19,20:10:31,P,72.2S,30.4W
9669,2072 September 12,08:59:20,T,69.8N,102.0E
9670,2073 February 7,01:55:59,P,70.5N,114.9E
9671,2073 August 3,17:15:23,T,43.2S,89.4W
9672,2074 January 27,06:44:15,A,6.6N,78.8E
9673,2074 July 24,03:10:32,A,12.8N,133.7E
9674,2075 January 16,18:36:04,T,37.2S,94.1W
9675,2075 July 13,06:05:44,A,63.1N,95.2E
9676,2076 January 6,10:07:27,T,87.2S,173.7W
9677,2076 June 1,17:31:22,P,64.4S,51.2W
9678,2076 July 1,06:50:43,P,67.0N,98.1W
9679,2076 November 26,11:43:01,P,63.7N,40.1E
9680,2077 May 22,02:46:05,T,13.1S,148.3E
9681,2077 November 15,17:07:56,A,7.8N,70.8W
9682,2078 May 11,17:56:55,T,28.1N,93.7W
9683,2078 November 4,16:55:44,A,27.8S,83.3W
9684,2079 May 1,10:50:13,T,66.2N,46.3W
