name,close_approach_date,close_approach_time,velocity_km_s,distance_km,diameter_min_m,diameter_max_m
(2015 CL),2025-01-29,23:06,12.161955498,17983951.983662928,22.1082810359,49.435619262
(2018 CR3),2025-01-29,05:09,30.9387411296,48245526.820436656,19.8863453236,44.4672199676
(2019 BL),2025-01-29,19:06,17.8360300648,68421299.953776049,24.2412481101,54.2050786336
(2020 BB5),2025-01-29,20:00,11.667582948,13832150.195085245,3.0517923259,6.824015094
(2020 HL4),2025-01-29,19:18,8.3616478137,55225803.033192845,31.9561886721,71.4562101727
(2022 CN1),2025-01-29,04:35,15.1472497152,8870166.973369054,144.7288051255,323.623446563
(2023 XZ2),2025-01-29,19:43,4.9285938605,26259719.346595062,7.7723970203,17.3796080855
(2025 BY1),2025-01-29,15:44,7.7177748694,2628118.729917069,7.6586985638,17.1253706078
(2025 BS2),2025-01-29,06:57,9.8536296139,3754802.431842267,12.14940408,27.1668934089
(2013 CW87),2025-01-28,16:25,3.3405143745,13131505.085309874,18.388867207,41.1187571041
(2015 BP509),2025-01-28,16:34,22.1781653855,32976155.779947051,7.3207398935,16.3696720474
(2015 YC1),2025-01-28,22:53,5.6968805763,25054817.859788032,16.7708462163,37.5007521798
(2021 UQ3),2025-01-28,05:56,7.4933188974,74789892.152833601,7.9168966694,17.7027191237
(2022 BX6),2025-01-28,20:36,14.2658458476,7554324.095124486,17.887719524,39.9981568182
(2022 DE3),2025-01-28,17:43,19.6556880888,70530654.768982256,6.676594135,14.9293183439
(2023 AW),2025-01-28,23:09,5.9277431581,28875545.454976574,19.433676839,43.4550224647
(2024 BZ3),2025-01-28,13:17,9.9510085107,21779660.187801829,7.3207398935,16.3696720474
(2024 YL17),2025-01-28,16:27,14.2917464071,27498390.398345264,91.3597655925,204.2866462734
(2025 BZ1),2025-01-28,17:55,9.9324397058,16499560.17724676,27.4634426361,61.4101246306
523586 (1999 LK1),2025-01-27,20:08,13.5366918456,59115588.056969935,98.754063894,220.8207999214
(2017 BO31),2025-01-27,04:27,22.073917734,16873156.069204701,291.4439045349,651.6883821679
(2017 YJ7),2025-01-27,08:46,15.3765851684,40488906.866355129,14.6067964271,32.6617897446
(2018 BL5),2025-01-27,12:28,4.0071346486,15204354.190530609,40.2304579834,89.9580388169
(2020 CA),2025-01-27,18:18,19.2589757924,28849084.793167992,3.1956188672,7.1456210173
(2021 XP3),2025-01-27,17:52,25.2921968453,68223999.751130001,19.1670367967,42.8587972046
(2024 RT15),2025-01-27,02:25,10.6553527764,43071327.052295865,78.8052183336,176.2138251755
(2024 XS6),2025-01-27,01:06,9.9930171082,15694195.571125447,61.7383440472,138.0511341077
(2024 YO3),2025-01-27,01:36,14.3464362016,26942697.247119173,122.8442905733,274.6881843697
(2025 AU1),2025-01-27,21:11,7.7926493377,12660185.132763783,35.7894460653,80.0276342792
(2025 BH2),2025-01-27,15:21,7.12042901,6884256.71517818,24.897456176,55.6724044763
(2006 SE6),2025-01-26,07:09,14.0614715644,62393709.517077217,67.6947481137,151.370058502
(2011 CD66),2025-01-26,19:24,16.6155200823,35323013.699463532,11.0803882126,24.7765012606
(2012 BB77),2025-01-26,12:47,28.0981190933,56860548.089093791,429.0965044045,959.488952756
(2016 AK193),2025-01-26,18:43,20.6336578598,54834065.5272183,101.9893858518,228.0551997482
(2016 UB107),2025-01-26,05:22,9.6943277145,20407917.238032018,24.2412481101,54.2050786336
(2017 BG136),2025-01-26,12:19,19.9828928401,66042979.088954352,16.9260249457,37.8477423675
(2020 BW12),2025-01-26,01:47,14.3681200798,59120739.429703811,16.0160337979,35.8129403019
(2020 OC),2025-01-26,03:48,4.9364877306,38689233.794007424,12.7219878539,28.4472296503
(2021 ET),2025-01-26,07:30,17.6449355412,24356982.542086362,132.6034967669,296.5104328249
